"Data Element (Field Name)","Type (min,max)",Required,"Format / Values"
"`Organisation Path`_ (organisation_path)

",string,yes,"A sequence of colon separated Organisation Keys that fully specifies the Provider Organisation providing a service to the client."
"`Practitioner Key`_ (practitioner_key)

","string (2,50)",yes,"A unique identifier for a practitioner within the responsible provider organisation. Assigned by either the PHN or Provider Organisation depending on local procedures."
"`Practitioner - Category`_ (practitioner_category)

",string,yes,":1: Clinical Psychologist
:2: General Psychologist
:3: Social Worker
:4: Occupational Therapist
:5: Mental Health Nurse
:6: Aboriginal and Torres Strait Islander Health/Mental Health Worker
:7: Low Intensity Mental Health Worker
:8: General Practitioner
:9: Psychiatrist
:10: Other Medical
:11: Other
:12: Psychosocial Support Worker
:13: Peer Support Worker
:99: Not stated"
"`Practitioner - ATSI Cultural Training`_ (atsi_cultural_training)

",string,yes,":1: Yes
:2: No
:3: Not required
:9: Missing / Not recorded"
"`Practitioner - Year of Birth`_ (practitioner_year_of_birth)

",gYear,yes,gYear
"`Practitioner - Gender`_ (practitioner_gender)



`ABS <http://www.abs.gov.au/ausstats/abs@.nsf/Latestproducts/1200.0.55.012Main%20Features12016?opendocument&tabname=Summary&prodno=1200.0.55.012&issue=2016&num=&view=>`__",string,yes,":0: Not stated/Inadequately described
:1: Male
:2: Female
:3: Other"
"`Practitioner - Aboriginal and Torres Strait Islander Status`_ (practitioner_atsi_status)



METeOR: `291036 <http://meteor.aihw.gov.au/content/index.phtml/itemId/291036>`__",string,yes,":1: Aboriginal but not Torres Strait Islander origin
:2: Torres Strait Islander but not Aboriginal origin
:3: Both Aboriginal and Torres Strait Islander origin
:4: Neither Aboriginal or Torres Strait Islander origin
:9: Not stated/inadequately described"
"`Practitioner - Active`_ (practitioner_active)

",string,yes,":0: Inactive
:1: Active"
"`Practitioner - Tags`_ (practitioner_tags)

",string,"—","List of tags for the practitioner."
